"","site","date","spacing_m","temp_avg","sal_avg","dist_from_bags","reclaimed","absent","consumed"
"153","mera",20200820,1,26.35,18.5,5,15,1,"0"
"154","mera",20200820,1,26.35,18.5,5,15,1,"0"
"155","mera",20200820,1,26.35,18.5,5,15,1,"0"
"156","mera",20200820,1,26.35,18.5,5,15,1,"0"
"157","mera",20200820,1,26.35,18.5,5,15,1,"0"
"158","mera",20200820,1,26.35,18.5,10,15,0,"0"
"159","mera",20200820,1,26.35,18.5,10,15,0,"0"
"160","mera",20200820,1,26.35,18.5,10,15,0,"0"
"161","mera",20200820,1,26.35,18.5,10,15,0,"0"
"162","mera",20200820,1,26.35,18.5,10,15,0,"0"
"163","mera",20200820,1,26.35,18.5,10,15,0,"0"
"164","mera",20200820,1,26.35,18.5,10,15,0,"0"
"165","mera",20200820,1,26.35,18.5,10,15,0,"0"
"166","mera",20200820,1,26.35,18.5,10,15,0,"0"
"167","mera",20200820,1,26.35,18.5,10,15,0,"0"
"168","mera",20200820,1,26.35,18.5,10,15,0,"0"
"169","mera",20200820,1,26.35,18.5,10,15,0,"0"
"170","mera",20200820,1,26.35,18.5,10,15,0,"0"
"171","mera",20200820,1,26.35,18.5,10,15,0,"0"
"172","mera",20200820,1,26.35,18.5,20,15,1,"0"
"173","mera",20200820,1,26.35,18.5,20,15,1,"0"
"174","mera",20200820,1,26.35,18.5,20,15,1,"0"
"175","mera",20200820,1,26.35,18.5,20,15,1,"0"
"176","mera",20200820,1,26.35,18.5,20,15,1,"0"
"177","mera",20200820,1,26.35,18.5,20,15,1,"0"
"178","mera",20200820,1,26.35,18.5,20,15,1,"0"
"179","mera",20200820,1,26.35,18.5,20,15,1,"0"
"180","mera",20200820,1,26.35,18.5,20,15,1,"0"
"181","mera",20200820,1,26.35,18.5,20,15,1,"0"
"182","mera",20200820,1,26.35,18.5,20,15,1,"0"
"183","mera",20200820,1,26.35,18.5,20,15,1,"0"
"184","mera",20200820,1,26.35,18.5,20,15,1,"0"
"185","mera",20200820,1,26.35,18.5,20,15,1,"0"
"186","mera",20200820,1,26.35,18.5,40,15,1,"0"
"187","mera",20200820,1,26.35,18.5,40,15,1,"0"
"188","mera",20200820,1,26.35,18.5,40,15,1,"0"
"189","mera",20200820,1,26.35,18.5,40,15,1,"0"
"190","mera",20200820,1,26.35,18.5,40,15,1,"0"
"191","mera",20200820,1,26.35,18.5,40,15,1,"0"
"192","mera",20200820,1,26.35,18.5,40,15,1,"0"
"193","mera",20200820,1,26.35,18.5,40,15,1,"0"
"194","mera",20200820,1,26.35,18.5,40,15,1,"0"
"195","mera",20200820,1,26.35,18.5,40,15,1,"0"
"196","mera",20200820,1,26.35,18.5,40,15,1,"0"
"197","mera",20200820,1,26.35,18.5,40,15,1,"0"
"198","mera",20200820,1,26.35,18.5,40,15,1,"0"
"199","mera",20200820,1,26.35,18.5,40,15,1,"0"
"200","styron",20200814,4,27.8,30,0,20,3,"1"
"201","styron",20200814,4,27.8,30,0,20,3,"1"
"202","styron",20200814,4,27.8,30,0,20,3,"0"
"203","styron",20200814,4,27.8,30,0,20,3,"0"
"204","styron",20200814,4,27.8,30,0,20,3,"0"
"205","styron",20200814,4,27.8,30,0,20,3,"0"
"206","styron",20200814,4,27.8,30,0,20,3,"0"
"207","styron",20200814,4,27.8,30,0,20,3,"0"
"208","styron",20200814,4,27.8,30,0,20,3,"0"
"209","styron",20200814,4,27.8,30,0,20,3,"0"
"210","styron",20200814,4,27.8,30,0,20,3,"0"
"211","styron",20200814,4,27.8,30,0,20,3,"0"
"212","styron",20200814,4,27.8,30,0,20,3,"0"
"213","styron",20200814,4,27.8,30,0,20,3,"0"
"214","styron",20200814,4,27.8,30,0,20,3,"0"
"215","styron",20200814,4,27.8,30,0,20,3,"0"
"216","styron",20200814,4,27.8,30,0,20,3,"0"
"217","styron",20200814,4,27.8,30,0,20,3,"0"
"218","styron",20200814,4,27.8,30,0,20,3,"0"
"219","styron",20200814,4,27.8,30,2.5,20,3,"1"
"220","styron",20200814,4,27.8,30,2.5,20,3,"1"
"221","styron",20200814,4,27.8,30,2.5,20,3,"0"
"222","styron",20200814,4,27.8,30,2.5,20,3,"0"
"223","styron",20200814,4,27.8,30,2.5,20,3,"0"
"224","styron",20200814,4,27.8,30,2.5,20,3,"0"
"225","styron",20200814,4,27.8,30,2.5,20,3,"0"
"226","styron",20200814,4,27.8,30,2.5,20,3,"0"
"227","styron",20200814,4,27.8,30,2.5,20,3,"0"
